epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
109,379.607,0.26273,0.94333,1,0.1453,0.000151067,0.000151067,0.000151067
110,383.084,0.27719,0.96,1,0.11802,0.000147596,0.000147596,0.000147596
111,386.586,0.25472,0.96333,1,0.14855,0.000144124,0.000144124,0.000144124
112,390.127,0.26909,0.96667,1,0.10547,0.000140652,0.000140652,0.000140652
113,393.565,0.25342,0.94,1,0.14503,0.000137181,0.000137181,0.000137181
114,396.956,0.28231,0.94333,1,0.14798,0.000133709,0.000133709,0.000133709
115,400.46,0.22321,0.96667,1,0.08208,0.000130238,0.000130238,0.000130238
116,403.853,0.24664,0.96,1,0.12491,0.000126766,0.000126766,0.000126766
117,407.336,0.22702,0.96,1,0.13273,0.000123294,0.000123294,0.000123294
118,410.836,0.23187,0.96333,1,0.13185,0.000119823,0.000119823,0.000119823
119,414.445,0.27341,0.96667,1,0.12874,0.000116351,0.000116351,0.000116351
120,418.017,0.22785,0.96667,1,0.11897,0.00011288,0.00011288,0.00011288
121,421.466,0.23717,0.96,1,0.09714,0.000109408,0.000109408,0.000109408
122,424.864,0.27301,0.96,1,0.14532,0.000105936,0.000105936,0.000105936
123,428.284,0.24447,0.95667,1,0.10639,0.000102465,0.000102465,0.000102465
124,431.793,0.22553,0.96,1,0.11959,9.89932e-05,9.89932e-05,9.89932e-05
125,435.283,0.25547,0.95333,1,0.11524,9.55216e-05,9.55216e-05,9.55216e-05
126,438.842,0.23171,0.97,1,0.10654,9.205e-05,9.205e-05,9.205e-05
127,442.323,0.20028,0.96333,1,0.11658,8.85784e-05,8.85784e-05,8.85784e-05
128,445.831,0.24415,0.96333,1,0.10687,8.51068e-05,8.51068e-05,8.51068e-05
129,449.402,0.20808,0.96,1,0.14941,8.16352e-05,8.16352e-05,8.16352e-05
130,452.859,0.23843,0.97,1,0.09448,7.81636e-05,7.81636e-05,7.81636e-05
131,456.466,0.23326,0.97,1,0.08183,7.4692e-05,7.4692e-05,7.4692e-05
132,460.031,0.20929,0.96333,1,0.09439,7.12204e-05,7.12204e-05,7.12204e-05
133,463.576,0.20883,0.95333,1,0.09755,6.77488e-05,6.77488e-05,6.77488e-05
134,467.036,0.17017,0.96,1,0.09503,6.42772e-05,6.42772e-05,6.42772e-05
135,470.518,0.19801,0.95667,1,0.09225,6.08056e-05,6.08056e-05,6.08056e-05
136,474.048,0.19548,0.95667,1,0.10562,5.7334e-05,5.7334e-05,5.7334e-05
137,477.402,0.19974,0.95,1,0.12228,5.38624e-05,5.38624e-05,5.38624e-05
138,480.836,0.22963,0.95333,1,0.11199,5.03908e-05,5.03908e-05,5.03908e-05
139,484.235,0.21375,0.94333,1,0.14014,4.69192e-05,4.69192e-05,4.69192e-05
140,487.76,0.15363,0.95333,1,0.10349,4.34476e-05,4.34476e-05,4.34476e-05
141,515.707,0.19396,0.95,1,0.1254,3.9976e-05,3.9976e-05,3.9976e-05
142,519.196,0.21605,0.95,1,0.10143,3.65044e-05,3.65044e-05,3.65044e-05
143,523.019,0.20566,0.96333,1,0.10638,3.30328e-05,3.30328e-05,3.30328e-05
144,526.64,0.19525,0.96333,1,0.09662,2.95612e-05,2.95612e-05,2.95612e-05
145,530.095,0.19186,0.97333,1,0.12733,2.60896e-05,2.60896e-05,2.60896e-05
146,533.572,0.17599,0.95333,1,0.10429,2.2618e-05,2.2618e-05,2.2618e-05
147,537.157,0.17956,0.95667,1,0.12098,1.91464e-05,1.91464e-05,1.91464e-05
148,540.708,0.21323,0.96333,1,0.11033,1.56748e-05,1.56748e-05,1.56748e-05
149,544.224,0.17803,0.96333,1,0.10399,1.22032e-05,1.22032e-05,1.22032e-05
150,547.756,0.15596,0.96,1,0.10323,8.7316e-06,8.7316e-06,8.7316e-06
