epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.04529,2.72237,0.06667,0.38,2.71211,0.000172996,0.000172996,0.000172996
2,10.1064,2.72196,0.14,0.47667,2.6123,0.00034603,0.00034603,0.00034603
3,13.6247,2.59101,0.19667,0.63333,2.41289,0.00051675,0.00051675,0.00051675
4,17.3287,2.31461,0.32333,0.79333,2.1,0.000515585,0.000515585,0.000515585
5,20.9526,2.14874,0.33667,0.79,1.9623,0.000512114,0.000512114,0.000512114
6,24.6831,2.103,0.33333,0.8,1.90303,0.000508642,0.000508642,0.000508642
7,28.2247,1.86155,0.54333,0.89333,1.45742,0.00050517,0.00050517,0.00050517
8,31.6603,1.82292,0.39667,0.88,1.62109,0.000501699,0.000501699,0.000501699
9,35.1312,1.6578,0.51333,0.88,1.62822,0.000498227,0.000498227,0.000498227
10,38.6067,1.60547,0.48,0.91,1.47432,0.000494756,0.000494756,0.000494756
11,41.9267,1.54869,0.57333,0.94333,1.26494,0.000491284,0.000491284,0.000491284
12,44.5276,1.49151,0.61667,0.94333,1.08882,0.000487812,0.000487812,0.000487812
13,47.1005,1.44229,0.60667,0.95333,1.22832,0.000484341,0.000484341,0.000484341
14,50.5936,1.39251,0.70333,0.97667,0.88525,0.000480869,0.000480869,0.000480869
15,53.9977,1.35039,0.61333,0.97333,0.97881,0.000477398,0.000477398,0.000477398
16,57.4358,1.28903,0.66,0.97,0.99395,0.000473926,0.000473926,0.000473926
17,60.9875,1.22625,0.7,0.99333,0.80994,0.000470454,0.000470454,0.000470454
18,64.5064,1.20848,0.75,0.98667,0.69648,0.000466983,0.000466983,0.000466983
19,68.1082,1.14054,0.77,0.99,0.68315,0.000463511,0.000463511,0.000463511
20,71.7047,1.14826,0.77,0.98,0.79531,0.00046004,0.00046004,0.00046004
21,75.3108,1.13148,0.65333,0.97667,0.95884,0.000456568,0.000456568,0.000456568
22,78.7911,1.07394,0.77,0.99667,0.66316,0.000453096,0.000453096,0.000453096
23,82.3367,1.10786,0.74667,0.99333,0.72637,0.000449625,0.000449625,0.000449625
24,85.7625,1.09227,0.81667,0.98333,0.60945,0.000446153,0.000446153,0.000446153
25,89.2978,1.02449,0.77333,0.99667,0.66653,0.000442682,0.000442682,0.000442682
26,92.6426,1.01087,0.74,0.99333,0.66333,0.00043921,0.00043921,0.00043921
27,96.1093,0.98717,0.76667,0.99333,0.67463,0.000435738,0.000435738,0.000435738
28,99.6853,0.92345,0.73667,0.99333,0.71733,0.000432267,0.000432267,0.000432267
29,103.25,0.90162,0.85667,0.99667,0.42494,0.000428795,0.000428795,0.000428795
30,106.879,0.93236,0.72,0.99667,0.76206,0.000425324,0.000425324,0.000425324
31,110.366,0.92445,0.82667,0.99,0.51145,0.000421852,0.000421852,0.000421852
32,113.822,0.87668,0.81,0.99667,0.50305,0.00041838,0.00041838,0.00041838
33,117.349,0.85402,0.78333,0.99333,0.52043,0.000414909,0.000414909,0.000414909
34,120.77,0.85079,0.85667,0.99667,0.42543,0.000411437,0.000411437,0.000411437
35,124.238,0.84074,0.78333,0.99667,0.64406,0.000407966,0.000407966,0.000407966
36,127.719,0.79037,0.88,1,0.37466,0.000404494,0.000404494,0.000404494
37,131.343,0.75868,0.83333,0.99667,0.40919,0.000401022,0.000401022,0.000401022
38,134.858,0.77596,0.84,0.99667,0.45659,0.000397551,0.000397551,0.000397551
39,138.367,0.79867,0.82333,0.99333,0.55764,0.000394079,0.000394079,0.000394079
40,141.945,0.74322,0.85333,1,0.39734,0.000390608,0.000390608,0.000390608
41,145.431,0.77008,0.89333,0.99333,0.3254,0.000387136,0.000387136,0.000387136
42,148.978,0.68924,0.82667,1,0.43478,0.000383664,0.000383664,0.000383664
43,152.381,0.67482,0.86,1,0.35239,0.000380193,0.000380193,0.000380193
44,155.901,0.67142,0.86,1,0.37528,0.000376721,0.000376721,0.000376721
45,159.371,0.69533,0.88,1,0.32092,0.00037325,0.00037325,0.00037325
46,162.838,0.67266,0.89667,0.99667,0.30898,0.000369778,0.000369778,0.000369778
47,166.377,0.68451,0.85667,1,0.40576,0.000366306,0.000366306,0.000366306
