epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.67299,2.72237,0.06667,0.38,2.71211,0.000172996,0.000172996,0.000172996
2,8.52091,2.72196,0.14,0.47667,2.6123,0.00034603,0.00034603,0.00034603
3,12.105,2.59101,0.19667,0.63333,2.41289,0.00051675,0.00051675,0.00051675
4,15.631,2.31461,0.32333,0.79333,2.1,0.000515585,0.000515585,0.000515585
5,19.1795,2.14874,0.33667,0.79,1.9623,0.000512114,0.000512114,0.000512114
6,22.71,2.103,0.33333,0.8,1.90303,0.000508642,0.000508642,0.000508642
7,26.2661,1.86155,0.54333,0.89333,1.45742,0.00050517,0.00050517,0.00050517
8,30.1176,1.82292,0.39667,0.88,1.62109,0.000501699,0.000501699,0.000501699
9,33.845,1.6578,0.51333,0.88,1.62822,0.000498227,0.000498227,0.000498227
10,37.3164,1.60547,0.48,0.91,1.47432,0.000494756,0.000494756,0.000494756
11,40.7475,1.54869,0.57333,0.94333,1.26494,0.000491284,0.000491284,0.000491284
12,44.1715,1.49151,0.61667,0.94333,1.08882,0.000487812,0.000487812,0.000487812
13,47.6527,1.44229,0.60667,0.95333,1.22832,0.000484341,0.000484341,0.000484341
14,51.126,1.39251,0.70333,0.97667,0.88525,0.000480869,0.000480869,0.000480869
15,54.5537,1.35039,0.61333,0.97333,0.97881,0.000477398,0.000477398,0.000477398
16,58.0499,1.28903,0.66,0.97,0.99395,0.000473926,0.000473926,0.000473926
17,61.6014,1.22625,0.7,0.99333,0.80994,0.000470454,0.000470454,0.000470454
18,65.3107,1.20848,0.75,0.98667,0.69648,0.000466983,0.000466983,0.000466983
19,68.8878,1.14054,0.77,0.99,0.68315,0.000463511,0.000463511,0.000463511
20,72.4971,1.14826,0.77,0.98,0.79531,0.00046004,0.00046004,0.00046004
21,76.1208,1.13148,0.65333,0.97667,0.95884,0.000456568,0.000456568,0.000456568
22,79.7178,1.07394,0.77,0.99667,0.66316,0.000453096,0.000453096,0.000453096
23,83.3981,1.10786,0.74667,0.99333,0.72637,0.000449625,0.000449625,0.000449625
24,86.9458,1.09227,0.81667,0.98333,0.60945,0.000446153,0.000446153,0.000446153
25,90.5247,1.02449,0.77333,0.99667,0.66653,0.000442682,0.000442682,0.000442682
26,94.0516,1.01087,0.74,0.99333,0.66333,0.00043921,0.00043921,0.00043921
27,97.7041,0.98717,0.76667,0.99333,0.67463,0.000435738,0.000435738,0.000435738
