epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.4756,2.72237,0.06667,0.38,2.71211,0.000172996,0.000172996,0.000172996
2,8.10047,2.72123,0.13667,0.49333,2.62129,0.000341432,0.000341432,0.000341432
3,11.6043,2.62192,0.22333,0.61667,2.3416,0.000502925,0.000502925,0.000502925
4,14.7735,2.35387,0.32,0.76333,2.06104,0.000494756,0.000494756,0.000494756
5,18.0684,2.12832,0.48,0.85667,1.68408,0.000484341,0.000484341,0.000484341
6,21.3248,1.98873,0.40667,0.87333,1.69248,0.000473926,0.000473926,0.000473926
7,24.6887,1.82844,0.49333,0.87,1.52568,0.000463511,0.000463511,0.000463511
8,28.2001,1.72597,0.51667,0.92,1.4001,0.000453096,0.000453096,0.000453096
9,31.7249,1.65866,0.56667,0.96,1.24355,0.000442682,0.000442682,0.000442682
10,35.0459,1.61281,0.50667,0.92333,1.42085,0.000432267,0.000432267,0.000432267
11,38.1481,1.47154,0.56667,0.94,1.29214,0.000421852,0.000421852,0.000421852
12,41.3629,1.44414,0.63,0.96333,1.04116,0.000411437,0.000411437,0.000411437
13,44.5716,1.40324,0.67,0.98333,0.94473,0.000401022,0.000401022,0.000401022
14,48.3545,1.37285,0.71333,0.96667,0.89575,0.000390608,0.000390608,0.000390608
15,51.6151,1.33144,0.68667,0.97667,0.85918,0.000380193,0.000380193,0.000380193
16,54.8058,1.28864,0.66667,0.98,0.84111,0.000369778,0.000369778,0.000369778
17,58.0757,1.24611,0.71333,0.98333,0.79036,0.000359363,0.000359363,0.000359363
18,61.8933,1.19311,0.70667,0.99,0.81147,0.000348948,0.000348948,0.000348948
19,65.6972,1.15264,0.78667,0.99333,0.625,0.000338534,0.000338534,0.000338534
20,69.3877,1.12443,0.76,0.99,0.70845,0.000328119,0.000328119,0.000328119
21,72.7077,1.08771,0.78667,0.98667,0.65378,0.000317704,0.000317704,0.000317704
22,76.1303,1.04443,0.81333,0.99667,0.5319,0.000307289,0.000307289,0.000307289
23,79.3202,1.05993,0.76667,0.98667,0.63611,0.000296874,0.000296874,0.000296874
24,83.0285,1.04358,0.79333,0.98667,0.61348,0.00028646,0.00028646,0.00028646
25,87.2481,1.00458,0.81,0.99667,0.59302,0.000276045,0.000276045,0.000276045
26,90.847,0.96769,0.81,0.99667,0.5058,0.00026563,0.00026563,0.00026563
27,94.3478,0.90716,0.83,0.99333,0.50583,0.000255215,0.000255215,0.000255215
28,97.8424,0.88114,0.79667,0.99667,0.56323,0.0002448,0.0002448,0.0002448
29,101.374,0.87131,0.84333,1,0.47083,0.000234386,0.000234386,0.000234386
30,104.851,0.87406,0.76667,0.99667,0.58566,0.000223971,0.000223971,0.000223971
31,108.303,0.8545,0.81,0.99667,0.48423,0.000213556,0.000213556,0.000213556
32,111.792,0.78881,0.87333,1,0.37358,0.000203141,0.000203141,0.000203141
33,115.259,0.7575,0.83667,1,0.45577,0.000192726,0.000192726,0.000192726
